,Brand,Model,Color,Type,Rating,No_rating,Bought in past month,Discounted_price,Original_price,Discount %,Freq_bought
0,Truke,Truke newly launched buds liberty open ear,Black,Wireless,3.8,859,700+ ,1599,6999,77,least bought
1,Ptron,Ptron newly launched tangent eon bt v5.3,Grey,Wireless,3.7,2224,50+ ,599,2299,74,least bought
2,Noise,Noise newly launched buds vs601,Copper brown,Wireless,3.8,397,2k+ ,1399,3999,65,frequently bought
3,Boat,Boat bassheads 100,Black,Wireless,4.1,419049,5k+ ,340,999,66,frequently bought
4,Oneplus,Oneplus bullets z2,Magico black,Wireless,4.1,192774,30k+ ,1599,2299,30,highly bought
5,Oneplus,Oneplus nord buds 2r true,Black,Wireless,4.2,25202,10k+ ,1799,2299,22,highly bought
6,Boat,"Boat rockerz 255 pro+, 60hrs battery, fast charge, ipx7, dual pairing, low latency, magnetic",Active black,Wireless,3.9,227086,5k+ ,1169,3990,71,frequently bought
7,Boat,"Boat airdopes 91 prime, 45hrs battery, 13mm drivers, metallic finish, low latency,enx tech, fast charge, v5.3",Midnight black,Wireless,3.4,6205,5k+ ,699,3990,82,frequently bought
8,Boat,"Boat rockerz 255 z plus, ai-enx tech, spatial audio, 50hrs battery, low latency mode, fast charge, app support, ipx4, gfps, bt v5.3,",Classic black,Wireless,3.9,227086,5k+ ,1099,4489,76,frequently bought
9,Oneplus,Oneplus bullets,Booming black,Wireless,4.1,192774,10k+ ,2099,2999,30,highly bought
10,Jbl,Jbl c100si,Black,Wired,4.0,199471,5k+ ,599,1299,54,frequently bought
11,Truke,Truke mega 9 new launch true,Black,Wireless,4.7,94,200+ ,1299,3999,68,least bought
12,Igear,Igear crystal,Neon green,Wireless,3.5,101,50+ ,1299,3000,57,least bought
13,Truke,Truke new launch crystal bass true,Cobalt blue,Wireless,4.3,198,600+ ,799,2999,73,least bought
14,Oneplus,Oneplus nord buds 3,Black,Wireless,4.1,4616,10k+ ,2299,2799,18,highly bought
15,Boat,"Boat airdopes 311 pro, 50hrs battery, fast charge, dual mics enx tech, transparent lid, low latency, ipx4, iwp tech, v5.3",Active black,Wireless,3.4,4072,5k+ ,999,4990,80,frequently bought
16,Realme,Realme buds t310 true,Vibrant black,Wireless,4.1,11183,10k+ ,1999,3999,50,highly bought
17,Oneplus,Oneplus nord buds 3 pro,Black,Wireless,4.1,4616,10k+ ,2999,3699,19,highly bought
18,Boat,Boat bassheads 100 c,Black,Wired,4.1,419049,5k+ ,549,1990,72,frequently bought
19,Hp,Hp h150,Black,Wireless,2.8,953,5k+ ,499,2499,80,frequently bought
20,Boat,"Boat airdopes 121 pro plus, 100hrs battery, 4mics enx, 50ms low latency, fast charge, led display, ipx5, v5.3",Black,Wireless,3.7,23079,5k+ ,1199,4990,76,frequently bought
21,Boat,Boat rockerz 110/rockerz 109,Active black,Wireless,3.5,556,5k+ ,899,2490,64,frequently bought
22,Portronics,Portronics conch theta c,White,Wired,4.0,1490,5k+ ,279,799,65,frequently bought
23,Boat,"Boat new launch airdopes plus 311, glass design, dual mics enx, fast charge, 50 hrs battery, low latency, ipx4,",Charcoal black,Wireless,3.8,764,5k+ ,899,3990,77,frequently bought
24,Portronics,Portronics conch theta c,Black,Wired,4.0,1490,5k+ ,279,799,65,frequently bought
25,Zebronics,Zebronics bro,Green,Wired,3.4,59333,5k+ ,159,399,60,frequently bought
26,Boat,"Boat airdopes 300, cinematic spatial audio, 50hrs battery, 4mic ai enx, fast charge, app support, low latency, ipx4, v5.3",Gunmetal black,Wireless,4.0,4651,5k+ ,1498,6490,77,frequently bought
27,Boult,Boult audio z40 true,Brown,Wireless,3.8,34264,2k+ ,999,4999,80,frequently bought
28,Ptron,Ptron tangentbeat,Green,Wireless,3.8,76117,600+ ,599,2499,76,least bought
29,Boult,Boult z20,Pine green,Wireless,4.2,2355,5k+ ,999,5499,82,frequently bought
30,Rtusia,Rtusia small,Black,Wireless,4.0,5256,50+ ,2499,6999,64,least bought
31,Noise,Noise newly launched buds vs601,Cobalt blue,Wireless,3.8,397,1k+ ,1399,3999,65,frequently bought
32,Boat,"Boat airdopes 141, low latency, enx tech, 42hrs battery, fast charge, iwp, ipx4, v5.1",Bold black,Wireless,3.8,169246,5k+ ,999,4490,78,frequently bought
33,Oneplus,Oneplus buds 3,Gray,Wireless,4.3,7202,8k+ ,5499,6499,15,frequently bought
34,Boat,Boat bassheads 242,Active black,Wired,4.1,177031,5k+ ,499,1490,67,frequently bought
35,Boat,Boat rockerz 110/rockerz 109,Fern green,Wireless,3.5,556,4k+ ,799,2490,68,frequently bought
36,Boult,Boult z20,Jet black,Wireless,4.2,2355,5k+ ,999,5499,82,frequently bought
37,Boult,Boult audio z40 true,White,Wireless,3.8,34264,5k+ ,999,4999,80,frequently bought
38,Mustang,Mustang newly launched torq,Silver,Wireless,4.0,6023,4k+ ,1999,5999,67,frequently bought
39,Realme,Realme buds,Midnight black,Wireless,3.7,807,5k+ ,1599,2799,43,frequently bought
40,Boat,"Boat airdopes 800, dolby audio, adaptive eq by mimi, 4mics ai enx, app support, fast charge, low latency, ipx5, v5.3",Interstellar black,Wireless,4.0,3927,3k+ ,1799,6490,72,frequently bought
41,Boat,"Boat airdopes joy, 35hrs battery, fast charge, iwp tech, low latency, 2mic enx, type-c port, v5.3",Jet black,Wireless,3.4,868,5k+ ,899,3490,74,frequently bought
42,Boult,Boult mustang newly launched torq,Yellow,Wireless,4.0,6023,4k+ ,1999,5999,67,frequently bought
43,Zebronics,Zebronics bro,Black,Wired,3.4,59333,4k+ ,159,299,47,frequently bought
44,Crossbeats,Crossbeats shuffl anc neckband,Black,Wireless,3.8,1483,200+ ,1798,4999,64,least bought
45,Noise,Noise newly launched air buds pro 6,Up to,Wireless,4.0,2844,200+ ,2999,3999,25,least bought
46,Mivi,Mivi duopods i2 true,Black,Wireless,3.7,5310,2k+ ,799,2999,73,frequently bought
47,Boat,"Boat airdopes 111v2, premium leather finish, 4mics enx, 50hrs battery, 13mm drivers, fast charge, dual pair, v5.4",Classic black,Wireless,3.8,9414,3k+ ,1199,4990,76,frequently bought
48,Boat,"Boat airdopes 141 pro buds, 13mm drivers, metallic finish, 60hrs battery, 4mics enx, fast charge, ipx5, v5.3",Obsidian black,Wireless,3.8,169246,5k+ ,899,4990,82,frequently bought
49,Oneplus,Oneplus nord,Black,Wired,3.8,308,4k+ ,499,1299,62,frequently bought
50,Boat,"Boat nirvana ion, 120hrs battery, crystal bionic sound w/dual eq modes, 4mics enx, app support, low latency, ipx4, v.5.2",Charcoal black,Wireless,3.9,17232,3k+ ,1698,7990,79,frequently bought
51,Oneplus,Oneplus bullets,Beam blue,Wireless,4.1,192774,4k+ ,1599,2299,30,frequently bought
52,Boat,Boat bassheads 100,Furious red,Wired,4.1,419049,3k+ ,349,999,65,frequently bought
53,Noise,Noise buds n1,Up to,Wireless,4.0,9470,3k+ ,999,3499,71,frequently bought
54,Oneplus,Oneplus bullets z2,Acoustic red,Wireless,4.1,192774,5k+ ,1599,2299,30,frequently bought
55,Realme,Realme buds t110,Punk black,Wireless,4.0,26192,4k+ ,1299,2999,57,frequently bought
56,Boat,Boat bassheads 105,Black,Wired,4.0,38296,4k+ ,399,999,60,frequently bought
57,Oneplus,Oneplus nord buds 3,Black,Wireless,4.1,4616,4k+ ,2299,2799,18,frequently bought
58,Mivi,Mivi commando x7 [just launched] gaming,Black,Wireless,3.9,236,400+ ,1199,3999,70,least bought
59,Airbuds,Airbuds pro 2nd generation with (c-type) charging case (white),White,Wireless,5.0,1,50+ ,2999,9999,70,least bought
60,Noise,Noise newly launched buds vs601,Graphite black,Wireless,3.8,397,1k+ ,1399,3999,65,frequently bought
61,Boat,"Boat new launch nirvana crystl, transparent case,spatial audio, anc(~32db), 100hrs battery,4mics enx, dual pair,app support,",Quantum black,Wireless,4.5,457,3k+ ,2199,10990,80,frequently bought
62,Boult,Boult audio z40 true,Blue,Wireless,3.8,34264,5k+ ,998,4999,80,frequently bought
63,Boult,Boult z60,Powder blue,Wireless,3.8,10868,2k+ ,899,2999,70,frequently bought
64,Oneplus,Oneplus bullets,Grand green,Wireless,4.1,192774,4k+ ,2099,2999,30,frequently bought
65,Zebronics,Zebronics zeb-bro,Blue,Wired,3.4,59333,3k+ ,159,399,60,frequently bought
66,Boat,Boat newly launched bassheads 100 c,Navy blue,Wired,4.1,419049,3k+ ,599,1990,70,frequently bought
67,Oneplus,Oneplus bullets z2,Jazz green,Wireless,4.1,192774,5k+ ,1599,2299,30,frequently bought
68,Boat,"Boat rockerz 255 anc, 100hrs battery, spatial audio, anc(~32db), fast charge(10mins=24hrs), 3mics aienx, 13mm drivers, power",Raven black,Wireless,3.9,227086,3k+ ,1799,6990,74,frequently bought
69,Boult,Boult audio ufo,Black gloss,Wireless,3.9,5413,4k+ ,1299,3499,63,frequently bought
70,Boat,"Boat rockerz 255 pro+, 60hrs battery, fast charge, ipx7, dual pairing, low latency, magnetic",Teal green,Wireless,3.9,227086,4k+ ,1299,3990,67,frequently bought
71,Boat,"Boat airdopes 91 prime, 45hrs battery, 13mm drivers, metallic finish, low latency,enx tech, fast charge, v5.3",Sonic silver,Wireless,3.4,6205,4k+ ,699,3990,82,frequently bought
72,Boult,Boult audio z20 pro,Powder blue,Wireless,4.0,4325,2k+ ,1099,5999,82,frequently bought
73,Amazon,Amazon basics true,White,Wireless,3.3,369,3k+ ,629,2499,75,frequently bought
74,Boat,"Boat new launch airdopes plus 311, glass design, dual mics enx, fast charge, 50 hrs battery, low latency, ipx4,",Crimson red,Wireless,3.8,764,4k+ ,999,3990,75,frequently bought
75,Xiaomi,Xiaomi,Black,Wired,4.1,107290,3k+ ,449,599,25,frequently bought
76,Kratos,Kratos c type,Black,Wired,4.5,67,1k+ ,379,1099,66,frequently bought
77,Oneplus,Oneplus nord buds 3 pro,Black,Wireless,4.1,4616,4k+ ,2999,3699,19,frequently bought
78,Boat,Boat rockerz 330 pro,Active black,Wireless,4.0,14045,2k+ ,1199,2990,60,frequently bought
79,Mustang,Mustang torq,Black,Wireless,4.0,6023,3k+ ,1799,5999,70,frequently bought
80,Boat,"Boat airdopes atom 81 pro, 100hrs battery, 4mics enx tech, 50ms low latency, 13mm drivers, fast charge, ipx5, v5.1",Obsidian noir,Wireless,3.3,4199,3k+ ,899,3990,77,frequently bought
81,Boat,"Boat airdopes 91, 45hrs battery, 50ms low latency, enx tech, fast charge, ipx4, iwp tech, v5.3",Active black,Wireless,3.4,6205,2k+ ,749,4990,85,frequently bought
82,Ptron,Ptron bassbuds nx,Sand brown,Wireless,3.4,72362,100+ ,599,2599,77,least bought
83,Ptron,Ptron tangent duo in ear,Jet black,Wireless,3.7,809,300+ ,399,1899,79,least bought
84,Ptron,Ptron tangentbeat,Black,Wireless,3.8,76117,2k+ ,549,2499,78,frequently bought
85,Boult,Boult k10,Pure black,Wireless,4.0,4301,4k+ ,999,2499,60,frequently bought
86,Realme,Realme buds t310,Agile white,Wireless,4.1,11183,3k+ ,1999,3999,50,frequently bought
87,Boat,"Boat airdopes 131/138 with 60 hrs playback, asap charge",Active black,Wireless,3.6,1021,3k+ ,799,2990,73,frequently bought
88,Realme,Realme buds,Black,Wireless,3.8,42,1k+ ,1099,2499,56,frequently bought
89,Boat,Boat bassheads 102,Charcoal black,Wired,4.1,87181,1k+ ,499,1290,61,frequently bought
