,Brand,Model,Color,Type,Rating,No_rating,Bought,Discounted_price,Original_price,Discount
0,truke,truke Newly Launched Buds Liberty Open Ear,,Wireless,3.8,859,700+ bought in past month,"₹1,599","₹6,999",77%
1,pTron,pTron Newly Launched Tangent Eon BT v5.3,Grey,Wireless,3.7,"2,224",50+ bought in past month,₹599,"₹2,299",74%
2,Noise,Noise Newly Launched Buds VS601,Copper Brown,Wireless,3.8,397,2K+ bought in past month,"₹1,399","₹3,999",65%
3,Boat,Boat BassHeads 100,Black,,4.1,"419,049",5K+ bought in past month,₹340,₹999,66%
4,Oneplus,Oneplus Bullets Z2,Magico Black,Wireless,4.1,"192,774",30K+ bought in past month,"₹1,599","₹2,299",30%
5,OnePlus,OnePlus Nord Buds 2r True,,Wireless,4.2,"25,202",10K+ bought in past month,"₹1,799","₹2,299",22%
6,Boat,"Boat Rockerz 255 Pro+, 60HRS Battery, Fast Charge, IPX7, Dual Pairing, Low Latency, Magnetic",Active Black,Wireless,3.9,"227,086",5K+ bought in past month,"₹1,169","₹3,990",71%
7,boAt,"boAt Airdopes 91 Prime, 45HRS Battery, 13mm Drivers, Metallic Finish, Low Latency,ENx Tech, Fast Charge, v5.3",Midnight Black,Wireless,3.4,"6,205",5K+ bought in past month,₹699,"₹3,990",82%
8,boAt,"boAt Rockerz 255 Z Plus, AI-ENx Tech, Spatial Audio, 50HRS Battery, Low Latency Mode, Fast Charge, App Support, IPX4, GFPS, BT v5.3,",Classic Black,Wireless,3.9,"227,086",5K+ bought in past month,"₹1,099","₹4,489",76%
9,OnePlus,OnePlus Bullets,Booming Black,Wireless,4.1,"192,774",10K+ bought in past month,"₹2,099","₹2,999",30%
10,JBL,JBL C100SI,Black,Wired,4.0,"199,471",5K+ bought in past month,₹599,"₹1,299",54%
11,Apple,,USB,,4.2,"3,087",9K+ bought in past month,"₹1,649","₹2,000",18%
12,truke,truke Mega 9 New Launch True,,Wireless,4.7,94,200+ bought in past month,"₹1,299","₹3,999",68%
13,iGear,iGear Crystal,Neon Green,Wireless,3.5,101,,"₹1,299","₹3,000",57%
14,truke,truke New Launch Crystal Bass True,Cobalt Blue,Wireless,4.3,198,600+ bought in past month,₹799,"₹2,999",73%
15,OnePlus,OnePlus Nord Buds 2r True,,Wireless,4.2,"25,202",10K+ bought in past month,"₹1,799","₹2,299",22%
16,OnePlus,OnePlus Nord Buds 3,,Wireless,4.1,"4,616",10K+ bought in past month,"₹2,299","₹2,799",18%
17,boAt,"boAt Airdopes 311 Pro, 50HRS Battery, Fast Charge, Dual Mics ENx Tech, Transparent LID, Low Latency, IPX4, IWP Tech, v5.3",Active Black,Wireless,3.4,"4,072",5K+ bought in past month,₹999,"₹4,990",80%
18,realme,realme Buds T310 True,Vibrant Black,Wireless,4.1,"11,183",10K+ bought in past month,"₹1,999","₹3,999",50%
19,OnePlus,OnePlus Nord Buds 3 Pro,,Wireless,4.1,"4,616",10K+ bought in past month,"₹2,999","₹3,699",19%
20,boAt,boAt Bassheads 100 C,Black,Wired,4.1,"419,049",5K+ bought in past month,₹549,"₹1,990",72%
21,HP,HP H150,,Wireless,2.8,953,5K+ bought in past month,₹499,"₹2,499",80%
22,boAt,"boAt Airdopes 121 Pro Plus, 100HRS Battery, 4Mics ENx, 50ms Low Latency, Fast Charge, LED Display, IPX5, v5.3",Black,Wireless,3.7,"23,079",5K+ bought in past month,"₹1,199","₹4,990",76%
23,boAt,boAt Rockerz 110/Rockerz 109,Active Black,Wireless,3.5,556,5K+ bought in past month,₹899,"₹2,490",64%
24,Apple,,,,4.1,"3,510",8K+ bought in past month,"₹1,649","₹2,000",18%
25,Portronics,Portronics Conch Theta C,White,Wired,4.0,"1,490",5K+ bought in past month,₹279,₹799,65%
26,boAt,"boAt New Launch Airdopes Plus 311, Glass Design, Dual Mics ENx, Fast Charge, 50 Hrs Battery, Low Latency, IPX4,",Charcoal Black,Wireless,3.8,764,5K+ bought in past month,₹899,"₹3,990",77%
27,Portronics,Portronics Conch Theta C,Black,Wired,4.0,"1,490",5K+ bought in past month,₹279,₹799,65%
28,ZEBRONICS,ZEBRONICS Bro,Green,Wired,3.4,"59,333",5K+ bought in past month,₹159,₹399,60%
29,boAt,"boAt Airdopes 300, Cinematic Spatial Audio, 50HRS Battery, 4Mic AI ENx, Fast Charge, App Support, Low Latency, IPX4, v5.3",Gunmetal Black,Wireless,4.0,"4,651",5K+ bought in past month,"₹1,498","₹6,490",77%
30,Boult,Boult Audio Z40 True,Brown,Wireless,3.8,"34,264",2K+ bought in past month,₹999,"₹4,999",80%
31,pTron,pTron Tangentbeat,Green,Wireless,3.8,"76,117",600+ bought in past month,₹599,"₹2,499",76%
32,Boult,Boult Z20,Pine Green,Wireless,4.2,"2,355",5K+ bought in past month,₹999,"₹5,499",82%
33,RTUSIA,RTUSIA Small,,Wireless,4.0,"5,256",50+ bought in past month,"₹2,499","₹6,999",64%
34,Noise,Noise Newly Launched Buds VS601,Cobalt Blue,Wireless,3.8,397,1K+ bought in past month,"₹1,399","₹3,999",65%
35,pTron,pTron Newly Launched Tangent Eon BT v5.3,Grey,Wireless,3.7,"2,224",50+ bought in past month,₹599,"₹2,299",74%
36,Boat,"Boat Airdopes 141, Low Latency, ENx Tech, 42HRS Battery, Fast Charge, IWP, IPX4, v5.1",Bold Black,Wireless,3.8,"169,246",5K+ bought in past month,₹999,"₹4,490",78%
37,OnePlus,OnePlus Buds 3,Gray,,4.3,"7,202",8K+ bought in past month,"₹5,499","₹6,499",15%
